"team","wins","losses","goals","red_cards","yellow_cards","draws","fouls","shots","shots_ontarget","corners","goals_conceded","home_goals","home_goals_conceded","away_goals","away_goals_conceded","points","matches","goal_difference"
"Napoli",24,4,59,0,46,10,415,505,159,209,27,32,13,27,14,82,38,32
"Inter",24,5,79,1,57,9,414,571,194,221,35,40,21,39,14,81,38,44
"Atalanta",22,8,78,1,67,8,434,544,194,193,37,36,24,42,13,74,38,41
"Juventus",18,4,58,3,66,16,481,513,190,190,35,31,15,27,20,70,38,23
"Roma",20,9,56,1,64,9,405,509,174,170,35,37,15,19,20,69,38,21
"Fiorentina",19,11,60,3,81,8,440,429,170,147,41,32,18,28,23,65,38,19
"Lazio",18,9,61,7,92,11,424,536,199,229,49,33,26,28,23,65,38,12
"Milan",18,11,61,6,68,9,415,557,196,217,43,30,16,31,27,63,38,18
"Bologna",16,8,57,4,61,14,535,514,175,189,47,33,18,24,29,62,38,10
"Como",13,15,49,7,87,10,497,518,181,167,52,28,26,21,26,49,38,-3
"Torino",10,14,39,3,80,14,480,385,129,158,45,17,18,22,27,44,38,-6
"Udinese",12,18,41,5,84,8,536,436,144,178,56,22,27,19,29,44,38,-15
"Genoa",10,15,37,1,71,13,496,384,122,155,49,21,25,16,24,43,38,-12
"Verona",10,21,34,9,94,7,579,367,101,152,66,15,36,19,30,37,38,-32
"Parma",7,16,44,5,74,15,405,423,148,168,58,25,28,19,30,36,38,-14
"Cagliari",9,20,40,3,68,9,500,420,121,181,56,24,28,16,28,36,38,-16
"Lecce",8,20,27,6,60,10,465,452,126,165,58,13,31,14,27,34,38,-31
"Empoli",6,19,33,5,66,13,566,365,110,170,59,10,26,23,33,31,38,-26
"Venezia",5,19,32,2,76,14,503,380,130,143,56,17,22,15,34,29,38,-24
"Monza",3,26,28,3,90,9,511,333,104,136,69,13,31,15,38,18,38,-41
